product_class,Month,sales_volume
C1002,1/1/2013,43660
C1002,2/1/2013,42340
C1002,3/1/2013,49176
C1002,4/1/2013,47835
C1002,5/1/2013,50915
C1002,6/1/2013,48985
C1002,7/1/2013,51188
C1002,8/1/2013,55728
C1002,9/1/2013,50247
C1002,10/1/2013,48847
C1002,11/1/2013,48249
C1002,12/1/2013,54899
C1002,1/1/2014,58462.207
C1002,2/1/2014,50747
C1002,3/1/2014,61094.709
C1002,4/1/2014,56398.344
C1002,5/1/2014,51182.218
C1002,6/1/2014,59548.717
C1002,7/1/2014,63451.824
C1002,8/1/2014,71752.316
C1002,9/1/2014,67506.352
C1002,10/1/2014,67807.381
C1002,11/1/2014,67927.9
C1002,12/1/2014,73300.756
C1002,1/1/2015,68973.397
C1002,2/1/2015,66715.435
C1002,3/1/2015,74773.945
C1002,4/1/2015,69096.729
C1002,5/1/2015,72605.482
C1002,6/1/2015,67586.474
C1002,7/1/2015,71436.302
C1002,8/1/2015,77367.975
C1002,9/1/2015,71397.409
C1002,10/1/2015,75890.258
C1002,11/1/2015,77060.812
C1002,12/1/2015,83081.364
C1002,1/1/2016,80713.344
C1002,2/1/2016,75829.61
C1002,3/1/2016,79640.188
C1002,4/1/2016,81639.136
C1002,5/1/2016,82293.997
C1002,6/1/2016,72488.804
C1002,7/1/2016,80551.673
C1002,8/1/2016,75411.729
C1002,9/1/2016,72400.012
C1002,10/1/2016,77478.744
C1002,11/1/2016,77616.983
C1002,12/1/2016,84688.107
C1002,1/1/2017,80371.163
C1002,2/1/2017,73357.37
C1002,3/1/2017,81928.583
C1002,4/1/2017,83175.081
C1002,5/1/2017,82981.29
C1002,6/1/2017,79885.571
C1002,7/1/2017,92547.681
C1003,1/1/2013,10203
C1003,2/1/2013,9169
C1003,3/1/2013,10428
C1003,4/1/2013,9714
C1003,5/1/2013,10489
C1003,6/1/2013,10528
C1003,7/1/2013,10064
C1003,8/1/2013,9741
C1003,9/1/2013,10615
C1003,10/1/2013,10220
C1003,11/1/2013,9732
C1003,12/1/2013,10218
C1003,1/1/2014,10117
C1003,2/1/2014,9275
C1003,3/1/2014,10146
C1003,4/1/2014,9300
C1003,5/1/2014,9472
C1003,6/1/2014,9235
C1003,7/1/2014,9227
C1003,8/1/2014,10164
C1003,9/1/2014,9348
C1003,10/1/2014,9706
C1003,11/1/2014,9888
C1003,12/1/2014,9123
C1003,1/1/2015,9947
C1003,2/1/2015,8765
C1003,3/1/2015,4152
C1003,4/1/2015,7124
